2025-04-13 23:03:04.790 | info | main | credentials store | migrate from 0.0.0 → 1.0.0
2025-04-13 23:03:04.998 | info | main | update or create desktop entry | started
2025-04-13 23:03:05.002 | info | main | update or create desktop entry | desktop entry created successful
2025-04-13 23:03:05.011 | info | main | update or create desktop entry | file icon updated
2025-04-13 23:03:05.012 | info | main | init app | App started
2025-04-13 23:03:05.012 | info | main | init app | version=6.0.52; build=327; OS=linux; 6.14.2-arch1-1; x64; reforged=^0.0.530; calls=^2.2.1
2025-04-13 23:03:06.142 | info | main | autoupdater | Current updater url is  https://upload.object2.vk-apps.com/vk-me-desktop-dev-5837a06d-5f28-484a-ac22-045903cb1b1a/latest/
2025-04-13 23:03:06.144 | info | main | autoupdater | setUpdateUrlIpcHandler Registerred
2025-04-13 23:03:06.144 | info | main | autoupdater | cancelDownloadIpcHandler Registerred
2025-04-13 23:03:06.145 | info | main | autoupdater | downloadUpdateIpcHandler Registerred
2025-04-13 23:03:06.145 | info | main | autoupdater | installUpdateIpcHandler Registerred
2025-04-13 23:03:06.145 | info | main | autoupdater | toggleAutomaticDownloadIpcHandler Registerred
2025-04-13 23:03:06.148 | info | main | autoupdater | toggleAutomaticDownloadIpcHandler Registerred
2025-04-13 23:03:06.148 | info | main | autoupdater | UPDATER_CHECK_FOR_UPDATE Registerred
2025-04-13 23:03:06.148 | info | main | autoupdater | AutoUpdater initialised
2025-04-13 23:03:07.822 | info | preload | autoupdater | Main UPDATER_CHECK_FOR_UPDATE
2025-04-13 23:03:08.262 | info | main | autoupdater | onUpdateNotAvailableHandler No updates
2025-04-13 23:03:11.145 | info | main | autoupdater | Initial check for updates started
2025-04-13 23:03:11.506 | info | main | autoupdater | onUpdateNotAvailableHandler No updates
2025-04-13 23:03:32.693 | info | main | main window | Minimizing app window
2025-04-13 23:03:39.935 | info | main | init app | App closed
2025-04-13 23:03:39.958 | info | main | main window | Closing app window
2025-04-13 23:03:45.405 | info | main | update or create desktop entry | started
2025-04-13 23:03:45.414 | info | main | update or create desktop entry | desktop entry created successful
2025-04-13 23:03:45.424 | info | main | update or create desktop entry | file icon updated
2025-04-13 23:03:45.424 | info | main | init app | App started
